,College,In-state tuition,Opened,avg cost,Enrollment,County
0,Orange Coast,1188,1947,4225,19865,Orange
1,Mt. San Antonio,1350,1946,2570,26702,Los Angeles
2,Golden West,1180,1965,4475,10881,Orange
3,Ventura,1394,1925,1247,12036,Ventura
4,Santa Ana,1160,1915,4474,26122,Orange
5,Saddleback ,1330,1968,5909,17432,Orange
6,El Camino,1143,1947,8628,21292,Los Angeles
7,Cypress,1142,1966,4745,14068,Orange
8,Fullerton,1142,1913,5289,20260,Orange
9,Cerritos,1346,1955,1598,20368,Los Angeles
10,Pasedena,1168,1924,4559,24838,Los Angeles
11,Oxnard,1394,1975,1231,6770,Ventura
12,Santa Monica,1144,1929,4325,26723,Los Angeles
13,Compton,1142,1927,7447,5605,Los Angeles
14,Los Angeles City,1220,1929,5248,11656,Los Angeles
15,Glendale,1175,1927,3894,12570,Los Angeles
